,Incident_ID,Month,Day,Year,Date,School,Victims_Killed,Victims_Wounded,Number_Victims,Shooter_Killed,Quarter,City,State,School_Level,Location,Time_Period,Bullied,Domestic_Violence,Gang_Related
0,20221022OHDUC,10,22,2022,2022-10-22,Duxberry Park Alternative Elementary School,0,1,1,0,Fall,Columbus,OH,Elementary,Parking Lot,Night,No,No,
1,20221022ILCHC,10,22,2022,2022-10-22,Chalmers Elementary School,1,1,2,0,Fall,Chicago,IL,Elementary,Playground,Evening,No,No,
2,20221021OHSHS,10,21,2022,2022-10-21,Shaker Heights High School,0,1,1,0,Fall,Shaker Heights,OH,High,Front of School,After School,No,No,No
3,20221021CAGRS,10,21,2022,2022-10-21,Grant Union High School,1,0,1,0,Fall,Sacramento,CA,High,Parking Lot,Sport Event,No,No,
4,20221020COCAD,10,20,2022,2022-10-20,Castro Elementary School,0,0,0,0,Fall,Denver,CO,Elementary,Field (General),Sport Event,No,No,No
5,20221020PAPAP,10,20,2022,2022-10-20,Parkway West High School,0,1,1,0,Fall,Philadelphia,PA,High,School Bus,Lunch,No,No,
6,20221019TNROR,10,19,2022,2022-10-19,Rockvale Middle School,0,1,1,0,Fall,Rockvale,TN,Middle,Outside on School Property,Not a School Day,No,Yes,No
7,20221018NVSUL,10,18,2022,2022-10-18,Sunrise Mountain High School,1,0,1,0,Fall,Las Vegas,NV,High,Parking Lot,Night,No,No,No
8,20221018ORJEP,10,18,2022,2022-10-18,Jefferson High School,0,2,2,0,Fall,Portland,OR,High,Beside Building,Dismissal,No,No,No
9,20221017CAWIS,10,17,2022,2022-10-17,Willow Glen Middle School,0,0,0,0,Fall,San Jose,CA,Middle,Front of School,Morning Classes,No,No,No
10,20221017FLORT,10,17,2022,2022-10-17,Orange Grove Magnet Middle School,0,0,0,0,Fall,Tampa,FL,Middle,Front of School,Morning Classes,No,No,No
11,20221016VAFAR,10,16,2022,2022-10-16,Fairfield Court Elementary School,0,3,3,0,Fall,Richmond,VA,Elementary,Front of School,Not a School Day,No,No,
12,20221014LAJHA,10,14,2022,2022-10-14,J.H. Williams Middle School,0,0,0,0,Fall,Abbeville,LA,Middle,Front of School,Night,No,No,
13,20221014NCJAG,10,14,2022,2022-10-14,James B. Dudley High School,0,1,1,0,Fall,Greensboro,NC,High,Parking Lot,Sport Event,No,No,
14,20221014VAWER,10,14,2022,2022-10-14,"Westover Hills Elementary School
",1,1,2,0,Fall,Richmond,VA,Elementary,Front of School,Afternoon Classes,No,No,
15,20221014LABOB,10,14,2022,2022-10-14,Bogalusa High School,0,0,0,1,Fall,Bogalusa,LA,High,Football Field/Track,Sport Event,No,No,
16,20221014TNRIM,10,14,2022,2022-10-14,Riverdale High School,0,0,0,0,Fall,Murfreesboro,TN,High,Parking Lot,Sport Event,No,No,
17,20221013NYSCB,10,13,2022,2022-10-13,School Bus,0,1,1,0,Fall,Brooklyn,NY,Other,School Bus,Morning Classes,No,No,
18,20221013TXJOD,10,13,2022,2022-10-13,John W Carpenter Elementary School,0,0,0,0,Fall,Dallas,TX,Elementary,Cafeteria,School Start,No,No,
19,20221012NCCAC,10,12,2022,2022-10-12,Cary High School,0,0,0,0,Fall,Cary,NC,High,Bathroom,Afternoon Classes,No,No,
20,20221011KSSAS,10,11,2022,2022-10-11,Salina South High School,0,0,0,0,Fall,Salina,KS,High,Parking Lot,Dismissal,No,No,
21,20221011ORREP,10,11,2022,2022-10-11,Reynolds High School,0,0,0,0,Fall,Portland,OR,High,Parking Lot,Lunch,No,No,
22,20221010WIJAM,10,10,2022,2022-10-10,James Madison Academic Campus,0,1,1,0,Fall,Milwaukee,WI,High,Front of School,Dismissal,No,No,
23,20221009MAWAA,10,9,2022,2022-10-09,Walton Elementary School,0,1,1,0,Fall,Auburn,MA,Elementary,Beside Building,Night,No,No,
24,20221008MOJCK,10,8,2022,2022-10-08,J. C. Harmon High School,0,0,0,0,Fall,Kansas City,MO,High,Parking Lot,School Event,No,No,
25,20221007AZCAP,10,7,2022,2022-10-07,Carl Hayden Community High School,0,0,0,0,Fall,Phoenix,AZ,High,Football Field/Track,Sport Event,No,No,
26,20221007OHWHT,10,7,2022,2022-10-07,Whitmer High School,0,3,3,0,Fall,Toledo,OH,High,Football Field/Track,Sport Event,No,No,No
27,20221007MIBAB,10,7,2022,2022-10-07,Battle Creek High School,0,0,0,0,Fall,Battle Creek,MI,High,Parking Lot,Sport Event,No,No,
28,20221007NCJHG,10,7,2022,2022-10-07,J. H. Rose High School,0,1,1,0,Fall,Greenville,NC,High,Football Field/Track,Sport Event,No,No,
29,20221006OHMAC,10,6,2022,2022-10-06,Marion-Franklin High School,0,0,0,0,Fall,Columbus,OH,High,Parking Lot,Sport Event,No,No,No
30,20221004MAJB,10,4,2022,2022-10-04,Jeremiah Burke High School,0,1,1,0,Fall,Boston,MA,High,Front of School,Morning Classes,,No,
31,20221004NCPIS,10,4,2022,2022-10-04,Pinecrest High School,0,0,0,0,Fall,Southern Pine,NC,High,School Bus,Dismissal,No,No,
32,20221003MIOXO,10,3,2022,2022-10-03,Oxford Middle School,0,0,0,0,Fall,Oxford,MI,Middle,Bathroom,,No,No,
33,20221001CACOO,10,1,2022,2022-10-01,Colony High School,0,1,1,0,Fall,Ontario,CA,High,Football Field/Track,Sport Event,No,No,
34,20220930OKMCT,9,30,2022,2022-09-30,McLain High School,1,3,4,0,Fall,Tulsa,OK,High,Football Field/Track,Sport Event,No,No,
35,20220930NYNEN,9,30,2022,2022-09-30,Newburgh Free Academy,0,3,3,0,Fall,Newburgh,NY,High,Parking Lot,Sport Event,No,No,
36,20220928LASEB,9,28,2022,2022-09-28,Second Chance Academy,0,0,0,0,Fall,Baton Rouge,LA,High,Parking Lot,Morning Classes,No,No,
37,20220928CARUO,9,28,2022,2022-09-28,Rudsdale Continuation High School,0,6,6,0,Fall,Oakland,CA,High,Inside School Building,Afternoon Classes,No,No,Yes
38,20220927PAROP,9,27,2022,2022-09-27,Roxborough High School,1,4,5,0,Fall,Philadelphia,PA,High,Football Field/Track,Sport Event,No,No,
39,20220927TXHGD,9,27,2022,2022-09-27,H. Grady Spruce High School,0,1,1,0,Fall,Dallas,TX,High,Front of School,After School,No,No,
40,20220926GAVAV,9,26,2022,2022-09-26,Valdosta City Schools Bus,0,1,1,0,Fall,Valdosta,GA,High,School Bus,Before School,No,No,
41,20220923CANOC,9,23,2022,2022-09-23,North Monterey County High School,0,1,1,0,Fall,Castroville,CA,High,Parking Lot,Sport Event,No,No,
42,20220923WIROM,9,23,2022,2022-09-23,Roosevelt Middle School,0,1,1,0,Fall,Milwaukee,WI,Middle,Front of School,Night,No,No,
43,20220923MNRIM,9,23,2022,2022-09-23,Richfield High School,0,2,2,0,Fall,Richfield,MN,High,Football Field/Track,Sport Event,No,No,
44,20220923DEAPM,9,23,2022,2022-09-23,Appoquinimink High School,0,2,2,0,Fall,Middletown,DE,High,Football Field/Track,Sport Event,No,No,
45,20220923PAWEP,9,23,2022,2022-09-23,West Philadelphia High School,0,0,0,0,Fall,Philadelphia,PA,High,Football Field/Track,Sport Event,No,No,
46,20220921INJAS,9,21,2022,2022-09-21,Jackson Middle School,0,0,0,0,Fall,South Bend,IN,Middle,School Bus,Dismissal,No,No,No
47,20220920NYINB,9,20,2022,2022-09-20,Intermediate School 278,0,0,0,0,Fall,Brooklyn,NY,Middle,Playground,After School,No,No,No
48,20220919FLTRS,9,19,2022,2022-09-19,Treasure Coast Classical Academy,0,0,0,0,Fall,Stuart,FL,Elementary,Office,Afternoon Classes,No,No,No
49,20220919LALAN,9,19,2022,2022-09-19,Laureate Academy Charter School,0,0,0,0,Fall,New Orleans,LA,K-8,School Bus,School Start,No,No,No
50,20220917GAJOA,9,17,2022,2022-09-17,Josey High School,0,2,2,0,Fall,Augusta,GA,High,Parking Lot,Sport Event,No,No,No
51,20220916GALAA,9,16,2022,2022-09-16,Laney Walker High School,0,0,0,0,Fall,Augusta,GA,High,Parking Lot,Sport Event,No,No,
52,20220916NYPSN,9,16,2022,2022-09-16,P.S. 77 Lower Lab School,0,0,0,0,Fall,New York,NY,Elementary,Playground,After School,No,No,No
53,20220914PACON,9,14,2022,2022-09-14,Council Rock North High School,0,0,0,0,Fall,Newton,PA,High,School Bus,Dismissal,,No,
54,20220913UTBOB,9,13,2022,2022-09-13,Bountiful High School,0,0,0,0,Fall,Bountiful,UT,High,Parking Lot,Afternoon Classes,,No,
55,20220913MDOXO,9,13,2022,2022-09-13,Oxon Hill High School,0,1,1,0,Fall,Oxon Hill,MD,High,Beside Building,After School,,,
56,20220913CAVAV,9,13,2022,2022-09-13,Vallejo High School,0,1,1,0,Fall,Vallejo,CA,High,Parking Lot,Dismissal,No,No,
57,20220913MIJAJ,9,13,2022,2022-09-13,Jackson Middle School,0,0,0,0,Fall,Jackson,MI,Middle,Football Field/Track,Sport Event,N,No,
58,20220909WIMIM,9,9,2022,2022-09-09,Milwaukee School Bus,0,0,0,0,Fall,Milwaukee,WI,High,School Bus,Dismissal,No,No,
59,20220909WIWIR,9,9,2022,2022-09-09,William Horlick High School,0,1,1,0,Fall,Racine,WI,High,Football Field/Track,Sport Event,No,No,
60,20220908LAJHA,9,8,2022,2022-09-08,J. H. Williams Middle School,0,0,0,0,Fall,Abbeville,LA,Middle,Outside on School Property,Sport Event,No,No,
61,20220907MDCAB,9,7,2022,2022-09-07,Carver Vocational Technical High School,0,1,1,0,Fall,Baltimore,MD,High,Front of School,Dismissal,No,No,
62,20220907OHBEB,9,7,2022,2022-09-07,Beavercreek High School,0,0,0,0,Fall,Beavercreek,OH,High,Football Field/Track,Sport Event,No,No,No
63,20220907WIBAM,9,7,2022,2022-09-07,Barack Obama High School,0,0,0,0,Fall,Milwaukee,WI,High,Outside on School Property,,No,No,
64,20220906IANOS,9,6,2022,2022-09-06,North Middle School,0,0,0,0,Fall,Sioux City,IA,Middle,Football Field/Track,Afternoon Classes,,No,
65,20220904FLBOL,9,4,2022,2022-09-04,Boyd H. Anderson High School,0,4,4,0,Fall,Lauderdale Lakes,FL,High,Football Field/Track,Sport Event,No,No,
66,20220902MDMEB,9,2,2022,2022-09-02,Mergenthaler Vocational-Technical High School,1,0,1,0,Fall,Baltimore,MD,High,Parking Lot,Dismissal,No,No,
67,20220902INJEL,9,2,2022,2022-09-02,Jeffersonville High School,0,0,0,0,Fall,Jeffersonville,IN,High,Parking Lot,Sport Event,No,No,No
68,20220831NMDEA,8,31,2022,2022-08-31,Del Norte High School,0,0,0,0,Summer,Albuquerque,NM,High,Parking Lot,Lunch,,No,
69,20220831DCIDW,8,31,2022,2022-08-31,IDEA Public Charter School,0,2,2,0,Summer,Washington,DC,High,Front of School,Morning Classes,No,No,
70,20220831PAFRP,8,31,2022,2022-08-31,Frances E. Willard Elementary School,0,3,3,0,Summer,Philadelphia,PA,Elementary,Playground,Night,No,No,
71,20220829CAMAO,8,29,2022,2022-08-29,Madison Park Academy,0,1,1,0,Summer,Oakland,CA,6-12,Basketball Court,Afternoon Classes,,No,
72,20220827MONOS,8,27,2022,2022-08-27,Normandy High School,0,0,0,0,Summer,St. Louis,MO,High,Parking Lot,Sport Event,No,No,
73,20220826OHGAC,8,26,2022,2022-08-26,Garfield Heights High School,0,0,0,0,Summer,Cleveland,OH,High,Parking Lot,Sport Event,No,No,
74,20220823OHINC,8,23,2022,2022-08-23,Indian Springs Elementary School,0,0,0,0,Summer,Columbus,OH,Elementary,Front of School,Afternoon Classes,No,No,No
75,20220823OHART,8,23,2022,2022-08-23,Arlington Elementary School,0,0,0,0,Summer,Toledo,OH,Elementary,Front of School,Dismissal,No,No,No
76,20220819LAAKN,8,19,2022,2022-08-19,Akili Academy of New Orleans,0,0,0,0,Summer,New Orleans,LA,K-8,School Bus,Dismissal,,,No
77,20220819OHGRG,8,19,2022,2022-08-19,Groveport Madison High School,0,0,0,0,Summer,Groveport,OH,High,Parking Lot,Sport Event,No,No,No
78,20220819TNWEC,8,19,2022,2022-08-19,West Creek High School,0,0,0,0,Summer,Clarksville,TN,High,Parking Lot,Sport Event,No,No,
79,20220818FLLER,8,18,2022,2022-08-18,Lennard High School,0,0,0,0,Summer,Ruskin,FL,High,Parking Lot,Morning Classes,,No,
80,20220816TXPOB,8,16,2022,2022-08-16,Porter Early College High School,0,0,0,0,Summer,Brownsville,TX,High,Parking Lot,School Start,No,No,
81,20220815CALIS,8,15,2022,2022-08-15,Lincoln High School,0,0,0,0,Summer,Stockton,CA,High,Courtyard,Lunch,,No,
82,20220813ARMAL,8,13,2022,2022-08-13,Mabelvale Elementary School,0,0,0,0,Summer,Little Rock,AR,Elementary,Front of School,Not a School Day,No,No,
83,20220812CASIV,8,12,2022,2022-08-12,Silverado High School,0,0,0,0,Summer,Victorville,CA,High,Parking Lot,Sport Event,No,No,
84,20220811GAUCB,8,11,2022,2022-08-11,Union County Primary School,0,0,0,0,Summer,Blairsville,GA,Elementary,Parking Lot,Afternoon Classes,No,,
85,20220810GAMCA,8,10,2022,2022-08-10,McDonough High School,0,0,0,0,Summer,McDonough,GA,High,Gym,Morning Classes,No,No,No
86,20220809PACHP,8,9,2022,2022-08-08,Charles B. Warring Elementary School,1,1,0,0,Summer,Poughkeepsie,PA,Elementary,Front of School,Night,No,No,
87,20220805MATHL,8,5,2022,2022-08-05,Thurgood Marshall Middle School,0,0,0,0,Summer,Lynn,MA,Middle,Parking Lot,Sport Event,No,No,No
88,20220805GAJOJ,8,5,2022,2022-08-05,Johnson County High School,0,0,0,0,Summer,Johnson County,GA,High,Football Field/Track,Sport Event,No,No,
89,20220803PALEP,8,3,2022,2022-08-03,Lewis Elkin Elementary School,1,1,2,0,Summer,Philadelphia,PA,Elementary,Playground,Night,No,No,
90,20220731CAOAO,7,31,2022,2022-07-31,Oakland Technical High School,0,3,3,0,Summer,Oakland,CA,High,Football Field/Track,Sport Event,No,No,
91,20220730NYRHH,7,30,2022,2022-07-30,Rhodes Academy,0,0,0,0,Summer,Hempstead,NY,Elementary,Classroom,Night,No,No,
92,20220729INCOS,7,29,2022,2022-07-29,Coquillard Elementary School,0,0,0,1,Summer,South Bend,IN,Elementary,Field (General),Not a School Day,No,No,No
93,20220728KSMOG,7,28,2022,2022-07-28,Moonlight Elementary School,0,0,0,0,Summer,Gardner,KS,Elementary,Outside on School Property,Not a School Day,No,No,No
94,20220726TXCOC,7,26,2022,2022-07-26,College Station High School,0,0,0,0,Summer,College Station,TX,High,Parking Lot,Evening,No,No,
95,20220726PALAL,7,26,2022,2022-07-26,Lake Lehman High School,0,0,0,0,Summer,Lehman,PA,High,Gym,Night,No,No,No
96,20220725NYBRB,7,25,2022,2022-07-25,X480 Bronx Regional High School,0,2,2,0,Summer,Bronx,NY,High,Basketball Court,Night,No,No,Yes
97,20220720CAJOV,7,20,2022,2022-07-20,John Finney High School,0,0,0,0,Summer,Vallejo,CA,High,Field (General),Morning Classes,No,No,
98,20220716GAAPF,7,16,2022,2022-07-16,A. Philip Randolph Elementary School,0,1,1,0,Summer,Fulton,GA,Elementary,Parking Lot,Night,No,No,
99,20220716NYCLS,7,16,2022,2022-07-16,Clary Middle School,0,0,0,0,Summer,Syracuse,NY,Middle,Parking Lot,Sport Event,No,No,No
100,20220629CABUA,6,29,2022,2022-06-29,Buhach Colony High School,0,0,0,0,Summer,Atwater,CA,High,Parking Lot,Night,No,No,No
101,20220620ILGRC,6,20,2022,2022-06-20,Gresham School of Excellence,0,3,3,0,Summer,Chicago,IL,Elementary,Field (General),Night,No,No,
102,20220613WAMAE,6,13,2022,2022-06-13,Mariner High School,0,0,0,0,Summer,Everett,WA,High,Parking Lot,After School,No,No,
103,20220610ALBYB,6,10,2022,2022-06-10,Byhalia High School,0,0,0,0,Summer,Byhalia,MS,High,Parking Lot,Morning Classes,No,No,
104,20220609ALWAG,6,9,2022,2022-06-09,Walnut Park Elementary School,0,0,0,0,Summer,Gadsden,AL,Elementary,Front of School,Morning Classes,,,
105,20220608ARLIL,6,8,2022,2022-06-08,Little Rock School District Bus,0,0,0,0,Summer,Little Rock,AR,Other,School Bus,Dismissal,No,No,
106,20220607MIPED,6,7,2022,2022-06-07,Pershing High School,0,0,0,0,Summer,Detroit,MI,High,Parking Lot,After School,No,No,
107,20220605INWEG,6,5,2022,2022-06-05,West Side Leadership Academy,0,2,2,0,Summer,Gary,IN,High,Off School Property,School Event,No,No,
108,20220601CAULL,6,1,2022,2022-06-01,Ulysses S. Grant Senior High School,0,1,1,0,Summer,Los Angeles,CA,High,Front of School,Dismissal,No,No,Yes
109,20220531LAMON,5,31,2022,2022-05-31,Morris Jeff High School,0,2,2,0,Spring,New Orleans,LA,High,Off School Property,School Event,No,No,No
110,20220530CAHEL,5,30,2022,2022-05-30,Helix High School,0,1,1,0,Spring,La Mesa,CA,High,Parking Lot,Evening,No,No,
111,20220529ILDAC,5,29,2022,2022-05-29,Daniel Webster Public School,0,5,5,0,Spring,Chicago,IL,Elementary,Front of School,Night,No,No,
112,20220526TXDUA,5,26,2022,2022-05-26,Duff Elementary School,0,0,0,0,Spring,Arlington,TX,Elementary,Front of School,Morning Classes,No,No,No
113,20220526SCMEG,5,26,2022,2022-05-26,Mevers School of Excellence,1,0,1,0,Spring,Goose Creek,SC,K-8,Parking Lot,Night,No,,
114,20220525ILSTC,5,25,2022,2022-05-25,St. Margaret of Scotland School,0,0,0,0,Spring,Chicago,IL,K-12,Outside on School Property,Night,No,No,No
115,20220524DCPOW,5,24,2022,2022-05-24,Powell Elementary School,0,1,1,0,Spring,Washington,DC,Elementary,Front of School,After School,No,No,
116,20220524WIRIM,5,24,2022,2022-05-24,Riverside University High School,0,0,0,0,Spring,Milwaukee,WI,High,Inside School Building,Lunch,,No,
117,20220524TXROU,5,24,2022,2022-05-24,Robb Elementary School,21,18,39,1,Spring,Uvalde,TX,Elementary,Inside School Building,Morning Classes,,,No
118,20220523PASIP,5,23,2022,2022-05-23,Simon Gratz High School,0,3,3,0,Spring,Philadelphia,PA,High,Front of School,Dismissal,No,No,
119,20220520ALMAT,5,20,2022,2022-05-20,Mary W Burroughs Elementary School,0,0,0,0,Spring,Theodore,AL,Elementary,Classroom,Afternoon Classes,No,No,No
120,20220520TNEAC,5,20,2022,2022-05-20,East Lake Elementary School,1,0,1,0,Fall,Chattanooga,TN,Elementary,Outside on School Property,Before School,No,,
121,20220520OHCAC,5,20,2022,2022-05-20,Canal Winchester High School,0,0,0,0,Spring,Canal Winchester,OH,High,School Bus,Dismissal,No,No,No
122,20220520VAPOD,5,20,2022,2022-05-20,Potomac High School,0,0,0,0,Spring,Dumfries,VA,High,Bathroom,Morning Classes,,No,
123,20220520ILSOP,5,20,2022,2022-05-20,South Elementary School,0,0,0,0,Spring,Pittsfield,IL,Elementary,Outside on School Property,School Start,No,No,No
124,20220519VAGER,5,19,2022,2022-05-19,George Wythe High School,0,0,0,0,Spring,Richmond,VA,High,Parking Lot,Afternoon Classes,No,No,
