Incident_ID,Weapon_Type,City,State
20221022OHDUC,unknown,Columbus,OH
20221022ILCHC,unknown,Chicago,IL
20221021OHSHS,Handgun,Shaker Heights,OH
20221021CAGRS,Handgun,Sacramento,CA
20221020COCAD,Other,Denver,CO
20221020PAPAP,Handgun,Philadelphia,PA
20221019TNROR,unknown,Rockvale,TN
20221018NVSUL,unknown,Las Vegas,NV
20221018ORJEP,unknown,Portland,OR
20221017CAWIS,Other,San Jose,CA
20221017FLORT,Handgun,Tampa,FL
20221016VAFAR,unknown,Richmond,VA
20221014LAJHA,Handgun,Abbeville,LA
20220908LAJHA,Handgun,Abbeville,LA
20221014NCJAG,Rifle,Greensboro,NC
20221014NCJAG,Handgun,Greensboro,NC
20221014VAWER,Handgun,Richmond,VA
20221014LABOB,Handgun,Bogalusa,LA
20221014TNRIM,Handgun,Murfreesboro,TN
20221013NYSCB,Multiple Handguns,Brooklyn,NY
20221013TXJOD,Handgun,Dallas,TX
20221012NCCAC,Handgun,Cary,NC
20221011ORREP,Handgun,Portland,OR
20221011KSSAS,Handgun,Salina,KS
20221010WIJAM,Handgun,Milwaukee,WI
20221009MAWAA,Handgun,Auburn,MA
20221008MOJCK,Handgun,Kansas City,MO
20221007MIBAB,Handgun,Battle Creek,MI
20221007NCJHG,Handgun,Greenville,NC
20221007AZCAP,Handgun,Phoenix,AZ
20221007OHWHT,Handgun,Toledo,OH
20221006OHMAC,Handgun,Columbus,OH
20221004MAJB,Handgun,Boston,MA
20221004NCPIS,unknown,Southern Pine,NC
20221003MIOXO,Handgun,Oxford,MI
20221001CACOO,Handgun,Ontario,CA
20220930OKMCT,Handgun,Tulsa,OK
20220930NYNEN,Handgun,Newburgh,NY
20220928LASEB,Handgun,Baton Rouge,LA
20220928CARUO,Handgun,Oakland,CA
20220927PAROP,unknown,Philadelphia,PA
20220927TXHGD,unknown,Dallas,TX
20220926GAVAV,Handgun,Valdosta,GA
20220923CANOC,Handgun,Castroville,CA
20220923WIROM,Handgun,Milwaukee,WI
20220923PAWEP,Handgun,Philadelphia,PA
20220923DEAPM,Handgun,Middletown,DE
20220923MNRIM,Handgun,Richfield,MN
20220921INJAS,Handgun,South Bend,IN
20220920NYINB,Handgun,Brooklyn,NY
20220919FLTRS,Handgun,Stuart,FL
20220919LALAN,unknown,New Orleans,LA
20220917GAJOA,Handgun,Augusta,GA
20220916GALAA,Multiple Handguns,Augusta,GA
20220916NYPSN,Other,New York,NY
20220914PACON,Other,Newton,PA
20220913UTBOB,Handgun,Bountiful,UT
20220913MIJAJ,unknown,Jackson,MI
20220913MDOXO,unknown,Oxon Hill,MD
20220913CAVAV,Handgun,Vallejo,CA
20220909WIWIR,Handgun,Racine,WI
20220909WIMIM,unknown,Milwaukee,WI
20220907OHBEB,unknown,Beavercreek,OH
20220907MDCAB,Handgun,Baltimore,MD
20220907WIBAM,Handgun,Milwaukee,WI
20220907WIBAM,Rifle,Milwaukee,WI
20220906IANOS,Other,Sioux City,IA
20220904FLBOL,Handgun,Lauderdale Lakes,FL
20220902INJEL,Handgun,Jeffersonville,IN
20220902MDMEB,Handgun,Baltimore,MD
20220831DCIDW,Handgun,Washington,DC
20220831NMDEA,Handgun,Albuquerque,NM
20220831PAFRP,Handgun,Philadelphia,PA
20220831PAFRP,Rifle,Philadelphia,PA
20220829CAMAO,Handgun,Oakland,CA
20220827MONOS,Handgun,St. Louis,MO
20220826OHGAC,Handgun,Cleveland,OH
20220823OHINC,Other,Columbus,OH
20220823OHART,Handgun,Toledo,OH
20220819LAAKN,Handgun,New Orleans,LA
20220819OHGRG,Handgun,Groveport,OH
20220819TNWEC,unknown,Clarksville,TN
20220818FLLER,Handgun,Ruskin,FL
20220816TXPOB,Handgun,Brownsville,TX
20220815CALIS,Handgun,Stockton,CA
20220813ARMAL,unknown,Little Rock,AR
20220812CASIV,Handgun,Victorville,CA
20220811GAUCB,unknown,Blairsville,GA
20220810GAMCA,Multiple Handguns,McDonough,GA
20220809PACHP,Handgun,Poughkeepsie,PA
20220805MATHL,Handgun,Lynn,MA
20220805GAJOJ,Handgun,Johnson County,GA
20220803PALEP,Handgun,Philadelphia,PA
20220731CAOAO,Handgun,Oakland,CA
20220730NYRHH,unknown,Hempstead,NY
20220729INCOS,Handgun,South Bend,IN
20220728KSMOG,Handgun,Gardner,KS
20220726PALAL,unknown,Lehman,PA
20220726TXCOC,Handgun,College Station,TX
20220725NYBRB,Handgun,Bronx,NY
20220720CAJOV,Handgun,Vallejo,CA
20220716NYCLS,Handgun,Syracuse,NY
20220716GAAPF,Handgun,Fulton,GA
20220629CABUA,unknown,Atwater,CA
20220620ILGRC,unknown,Chicago,IL
20220613WAMAE,Handgun,Everett,WA
20220610ALBYB,Handgun,Byhalia,MS
20220609ALWAG,Handgun,Gadsden,AL
20220608ARLIL,unknown,Little Rock,AR
20220607MIPED,Handgun,Detroit,MI
20220605INWEG,Handgun,Gary,IN
20220601CAULL,Handgun,Los Angeles,CA
20220531LAMON,Handgun,New Orleans,LA
20220530CAHEL,Handgun,La Mesa,CA
20220529ILDAC,Rifle,Chicago,IL
20220529ILDAC,Handgun,Chicago,IL
20220526TXDUA,Handgun,Arlington,TX
20220526SCMEG,unknown,Goose Creek,SC
20220525ILSTC,unknown,Chicago,IL
20220524WIRIM,Handgun,Milwaukee,WI
20220524TXROU,Multiple Rifles,Uvalde,TX
20220524DCPOW,Handgun,Washington,DC
20220523PASIP,Handgun,Philadelphia,PA
20220520VAPOD,Handgun,Dumfries,VA
20220520TNEAC,unknown,Chattanooga,TN
20220520OHCAC,Other,Canal Winchester,OH
20220520ILSOP,Handgun,Pittsfield,IL
20220520ALMAT,unknown,Theodore,AL
20220519VAGER,unknown,Richmond,VA
20220519MIEAK,unknown,Kentwood,MI
20220519LAHAH,Handgun,Hammond,LA
20220518TNRIM,Handgun,Murfreesboro,TN
20220518FLPAP,Handgun,Palmetto,FL
20220517ILWAC,Handgun,Chicago,IL
20220517CASAS,unknown,San Francisco,CA
20220516TXMEM,Handgun,Mexia,TX
20220515NHBEB,Other,Belmont,NH
20220515ILMEP,Handgun,Plainfield,IL
20220513GASOM,unknown,Macon,GA
20220513FLALW,Handgun,West Palm Beach,FL
20220512TXHEH,unknown,Houston,TX
20220512ARHOH,Handgun,Hot Springs,AR
20220511FLJAJ,unknown,Jacksonville,FL
20220509NYEDS,Handgun,Staten Island,NY
20220509GARIS,Handgun,Suwanee,GA
20220505OHLOL,Handgun,Lowellville,OH
20220505ALDOD,Other,Dothan,AL
20220503CAARS,unknown,San Bernardino,CA
20220501VALOM,Handgun,Manassas,VA
20220501OHHAC,Handgun,Columbus,OH
20220430PAMCJ,Handgun,Jeannette City,PA
20220427TXMOS,Handgun,San Antonio,TX
20220427INCOS,Other,South Bend,IN
20220426MIASI,Handgun,Ishpeming Township,MI
20220426GASOM,Handgun,Macon,GA
20220426GASOM,Other,Macon,GA
20220425WIWIM,Multiple Handguns,Milwaukee,WI
20220424MOHAF,Handgun,Florissant,MO
20220422ORHOS,Handgun,Salem,OR
20220422DCEDW,Multiple Rifles,Washington,DC
20220422DCEDW,Multiple Handguns,Washington,DC
20220422CAMOR,Rifle,Redding,CA
20220421NDMOM,Handgun,Mott,ND
20220416IAMED,Handgun,Des Moines,IA
20220415VAGAW,Handgun,Woodbridge,VA
